Site,Latitude,(deg),Longitude,(deg),EllipElev,(m),X,(m),Y,(m),Z,(m),Epoch,(yr),Net,Status,Last,yr.doy,Ant,Hght(m),Type,Dome
CUHS,34.94264834,-119.67395408,634.9385,-2591457.79836,-4548111.94954,3633016.81541,2022.7616,SCGN,ACTIVE,2023.345,0.0083,TPSCR.G3,SCIT
CUSH,47.42334323,-123.21992553,217.0621,-2368535.28020,-3616755.50429,4673895.53845,2022.7616,WSRN,ACTIVE,2023.345,0.0000,TRM115000.00,NONE
CVHS,34.08201281,-117.90172330,119.0256,-2474677.18212,-4673511.95781,3554051.47234,2022.7616,SCGN,ACTIVE,2023.345,0.0083,TWIVC6150,NONE
CYTE,37.20351566,-121.71396529,82.7071,-2673831.78356,-4326943.25675,3835457.03274,2022.7616,BARD,ACTIVE,2023.345,0.0083,SEPCHOKE_B3E6,SPKE
DAM2,34.33483725,-118.39687011,583.3708,-2507656.32402,-4638418.95625,3577506.81799,2022.7616,SCGN,ACTIVE,2023.345,0.0400,TPSCR.G3,SCIS
DAM3,34.33399255,-118.39747326,580.1058,-2507729.00626,-4638436.68096,3577427.59494,2022.7616,SCGN,ACTIVE,2023.345,0.0083,TPSCR.G3,SCIT
DDSN,43.11879022,-123.24424411,953.0887,-2556649.74197,-3900393.39379,4337795.44890,2022.7616,NOTA,ACTIVE,2023.345,0.0795,TRM159800.00,NONE
DEEJ,47.46883604,-123.92614385,103.6417,-2410811.42370,-3584132.06732,4677232.62854,2022.7616,PNGA,ACTIVE,2023.345,0.0000,TRM115000.00+S,SCIT
DESC,32.82992079,-116.64180389,957.2663,-2405964.05487,-4795856.16135,3438643.15249,2022.7616,CRTN,ACTIVE,2023.321,0.0083,TPSCR.G3,SCIT
DHLG,33.38980588,-115.78803235,-83.0685,-2319099.62933,-4799846.30962,3490090.42756,2022.7616,SCGN,ACTIVE,2023.345,0.1224,TPSCR.G3,SCIS
DIAB,37.87857547,-121.91563240,990.2873,-2665288.11526,-4279361.45903,3895422.75191,2022.7616,BARD,ACTIVE,2023.317,0.0083,SEPCHOKE_B3E6,SPKE
DIXN,38.46871493,-121.82864537,-9.2099,-2637020.93926,-4248335.35361,3946305.21768,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM59800.80,SCIT
DLNO,35.74999637,-119.24310087,63.2105,-2531640.31163,-4521846.14697,3705751.31903,2022.7616,CRTN,ACTIVE,2023.345,0.0000,TRM57971.00,NONE
DLUZ,33.43058871,-117.30722484,212.7212,-2444507.69486,-4734681.92298,3494029.15738,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM59800.80,SCIT
